datetime,open,high,low,close,volume
2022-05-12,162.19099,167.88,155.67,161.75,70872840.0
2022-05-13,167.88,179.2843,165.925,177.06,67043652.0
2022-05-16,175.09,177.88,171.06,172.64,52144600.0
2022-05-17,180.74001,183.71001,176.34,181.77,58582972.0
2022-05-18,177.05,181.17999,168.64,169.38,54516104.0
2022-05-19,169.37,176.87,167.3405,171.24001,62130960.0
2022-05-20,173.32001,174.10001,157.55,166.94,73910528.0
2022-05-23,162.74001,169.14999,161.7901,168.98,63988868.0
2022-05-24,165.10001,165.97,157.8,161.53999,58855000.0
2022-05-25,160.2,171.10989,160.0,169.75,78113192.0
2022-05-26,160.36,180.92,160.22,178.50999,99657456.0
2022-05-27,181.86,188.81,181.0,188.11,73837936.0
2022-05-31,189.8,192.0,183.5,186.72,66409952.0
2022-06-01,187.24001,190.5318,181.22,183.2,54451392.0
2022-06-02,182.92,196.19,181.98,195.92,64865580.0
2022-06-03,190.815,193.323,185.21561,187.2,59877872.0
2022-06-06,191.39,193.37,185.642,187.86,42240616.0
2022-06-07,184.72,190.0,181.88,189.25999,38891412.0
2022-06-08,187.99001,191.8,185.35001,186.48,36325248.0
2022-06-09,184.81,189.33,180.41,180.48,39557380.0
2022-06-10,176.0,176.97,168.69,169.74001,46564968.0
2022-06-13,160.0,163.12,156.06,156.47,60415336.0
2022-06-14,157.31,160.66,154.12,158.36,46967952.0
2022-06-15,160.95,168.67999,159.25999,165.27,56393564.0
2022-06-16,158.60001,159.4232,154.00999,156.00999,54574868.0
2022-06-17,156.48,159.95,153.28,158.8,63033396.0
2022-06-21,164.745,170.08,164.07001,165.66,48308888.0
2022-06-22,162.25999,166.62,161.8,163.60001,43799744.0
2022-06-23,165.185,165.85001,158.53,162.25,46367960.0
2022-06-24,165.0,171.39999,163.10001,171.25999,47215284.0
2022-06-27,173.12,173.3,166.255,168.69,42796788.0
2022-06-28,169.0,172.0199,159.45,159.82001,46185936.0
2022-06-29,158.14,158.2,151.7,155.42,48235228.0
2022-06-30,153.61,155.67,148.62,151.59,68607000.0
2022-07-01,148.99001,150.6291,143.92,145.23,57761008.0
2022-07-05,141.75,149.71001,140.55,149.64,65220760.0
2022-07-06,150.10001,153.1899,147.89,151.3,52906584.0
2022-07-07,154.55499,159.45,153.89,158.58,49290276.0
2022-07-08,154.3,160.3699,153.89,158.38,46797176.0
2022-07-11,155.25999,155.2699,150.3801,151.52,43838872.0
2022-07-12,152.67999,154.31,148.77,150.82001,45848312.0
